frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
120,12.0,[1130.9005972397538 1076.783212703115 1624.4957444270115 1496.096298340761],[1307.6353759765625 1338.568603515625 1455.17919921875 1384.42041015625],0.5599356293678284,KH05ZZF,0.06461822039851846
121,6.0,[867.454108517246 1549.2033639747758 1651.2071601378902 2142.844024712771],[1153.4931640625 1940.89892578125 1349.8638916015625 1996.6087646484375],0.6716970205307007,GY15OCJ,0.4561163877841552
121,5.0,[2024.8588642883349 1160.5996928985528 2616.184916336376 1624.385616909075],[2239.234130859375 1467.4154052734375 2431.66259765625 1514.8045654296875],0.6327052712440491,AF05JEO,0.205495797689758
121,12.0,[1128.671818003139 1079.2820021160476 1624.5323698648572 1499.7124420638181],[1300.9976806640625 1338.207275390625 1453.070556640625 1386.655517578125],0.5715600252151489,KH05ZZK,0.08048167709955212
122,6.0,[863.7870792219551 1556.4204016257345 1650.329756453947 2149.8373671306845],[1154.9415283203125 1956.8250732421875 1340.539794921875 2010.0084228515625],0.6826348304748535,GY15OCJ,0.3348455074089647
122,5.0,[2025.069870946637 1165.762663001645 2615.716969229583 1628.7543475339828],[2242.458984375 1472.366455078125 2412.030029296875 1519.3245849609375],0.5330758094787598,AP05JEQ,0.39043355821223585
122,35.0,[2233.974113042705 1577.9505075264804 2961.4725808168937 2130.328020246731],[2512.644287109375 1924.9200439453125 2699.006103515625 1996.5604248046875],0.38089266419410706,LM14VCV,0.38986290378560584
123,5.0,[2024.0877071932496 1170.8447964416348 2613.882941949623 1634.0386985351968],[2243.763427734375 1480.7259521484375 2411.355224609375 1529.9776611328125],0.45754289627075195,AF05JEO,0.19060228652599626
123,6.0,[857.9204417438807 1563.151507966305 1650.1837642110006 2154.8839367707255],[1144.8145751953125 1966.3580322265625 1339.3450927734375 2020.91064453125],0.40652626752853394,GX15OGJ,0.3972068869990723
124,6.0,[851.7645689063331 1568.118784851694 1647.4862505392482 2156.6955920275423],[1138.3795166015625 1973.6719970703125 1332.668701171875 2025.9200439453125],0.6377713680267334,GY15OGJ,0.4693116279939125
124,5.0,[2024.6466539517844 1173.7011048584354 2614.6374501864875 1638.0926282257433],[2242.3974609375 1482.0411376953125 2406.132568359375 1530.418701171875],0.5579578876495361,AF05JEQ,0.16673738850963787
125,6.0,[847.5303655734554 1572.9816530711432 1646.1113497797498 2156.795729061891],[1128.778564453125 1979.7608642578125 1328.5587158203125 2034.6427001953125],0.6691190600395203,GY15OGJ,0.7163819352471582
125,35.0,[2236.194362746228 1598.465240400536 2968.566725319449 2156.233304192254],[2495.75244140625 1956.29736328125 2704.149169921875 2038.5234375],0.5899540185928345,LM13VCV,0.49771823293152556
